"Munic Residencia PE";"2601 Recife";"2602 Limoeiro";"2603 Palmares";"2604 Caruaru";"2605 Garanhuns";"2606 Arcoverde";"2607 Salgueiro";"2608 Petrolina";"2609 Ouricuri";"2610 Afogados da Ingazeira";"2611 Serra Talhada";"2612 Goiana";"Total"
"260005 Abreu e Lima";17;5;0;0;0;0;0;0;0;0;0;0;22
"260010 Afogados da Ingazeira";2;0;0;2;1;10;3;0;0;1039;8;0;1065
"260020 Afrânio";0;0;0;0;0;0;0;76;0;0;0;0;76
"260030 Agrestina";7;2;50;152;2;0;0;0;0;0;0;0;213
"260040 Água Preta";0;0;665;3;1;1;0;0;0;0;0;0;670
"260050 Águas Belas";7;0;11;40;433;56;0;0;0;4;0;0;551
"260060 Alagoinha";4;0;0;25;21;198;0;0;0;7;0;0;255
"260070 Aliança";4;562;0;1;0;0;0;0;0;0;0;47;614
"260080 Altinho";7;1;62;103;7;0;0;0;0;0;0;0;180
"260090 Amaraji";96;0;55;1;0;0;0;0;0;0;0;0;152
"260100 Angelim";1;0;10;11;155;6;0;0;0;0;0;0;183
"260105 Araçoiaba";1;306;0;0;0;0;0;0;0;0;0;4;311
"260110 Araripina";0;0;0;0;0;4;4;48;28;1;0;0;85
"260120 Arcoverde";5;0;0;9;39;2235;2;0;0;29;6;0;2325
"260130 Barra de Guabiraba";7;1;63;52;1;0;0;0;0;0;0;0;124
"260140 Barreiros";7;0;685;2;1;1;0;0;0;0;0;0;696
"260150 Belém de Maria";1;0;200;4;0;0;0;0;0;0;0;0;205
"260160 Belém de São Francisco";1;0;0;0;0;2;663;14;0;1;8;0;689
"260170 Belo Jardim";26;0;17;286;84;106;0;0;0;5;0;0;524
"260180 Betânia";0;0;0;3;2;19;2;0;0;102;178;0;306
"260190 Bezerros";68;5;13;256;2;1;0;0;0;0;0;0;345
"260200 Bodocó";0;0;0;0;1;0;3;28;776;0;0;0;808
"260210 Bom Conselho";10;1;17;45;354;36;0;0;0;2;0;0;465
"260220 Bom Jardim";17;395;1;5;0;0;0;0;0;0;0;0;418
"260230 Bonito";22;0;192;113;0;0;0;0;0;1;0;0;328
