"Munic Residencia PE";"2601 Recife";"2604 Caruaru";"2606 Arcoverde";"2608 Petrolina";"2609 Ouricuri";"Total"
"260005 Abreu e Lima";894;0;0;0;0;894
"260010 Afogados da Ingazeira";75;11;0;0;0;86
"260020 Afrânio";0;1;0;84;0;85
"260030 Agrestina";95;214;0;0;0;309
"260040 Água Preta";185;7;0;0;0;192
"260050 Águas Belas";170;94;0;0;0;264
"260060 Alagoinha";59;62;0;0;0;121
"260070 Aliança";317;4;0;0;0;321
"260080 Altinho";63;195;0;0;0;258
"260090 Amaraji";194;5;0;0;0;199
"260100 Angelim";41;35;0;0;0;76
"260105 Araçoiaba";219;0;0;0;0;219
"260110 Araripina";10;0;0;66;2;78
"260120 Arcoverde";304;45;0;1;0;350
"260130 Barra de Guabiraba";62;77;0;0;0;139
"260140 Barreiros";311;2;0;0;0;313
"260150 Belém de Maria";56;25;0;0;0;81
"260160 Belém de São Francisco";6;0;0;15;0;21
"260170 Belo Jardim";346;627;0;0;0;973
"260180 Betânia";47;4;0;1;0;52
"260190 Bezerros";226;447;0;0;0;673
"260200 Bodocó";4;0;0;59;10;73
"260210 Bom Conselho";106;74;0;0;0;180
"260220 Bom Jardim";226;17;0;0;0;243
"260230 Bonito";215;242;0;0;0;457
"260240 Brejão";66;31;0;0;0;97
"260250 Brejinho";13;5;0;0;0;18
"260260 Brejo da Madre de Deus";235;467;0;0;0;702
"260270 Buenos Aires";121;0;0;0;0;121
"260280 Buíque";225;41;0;0;0;266
"260290 Cabo de Santo Agostinho";1509;1;0;0;0;1510
"260300 Cabrobó";1;0;0;145;0;146
"260310 Cachoeirinha";75;230;0;0;0;305
"260320 Caetés";126;60;0;0;0;186
"260330 Calçado";35;25;0;0;0;60
"260340 Calumbi";10;4;0;0;0;14
"260345 Camaragibe";1810;0;0;0;0;1810
"260350 Camocim de São Félix";81;153;0;0;0;234
"260360 Camutanga";72;0;0;0;0;72
"260370 Canhotinho";118;53;0;0;0;171
"260380 Capoeiras";88;36;0;0;0;124
"260390 Carnaíba";48;9;0;1;0;58
"260392 Carnaubeira da Penha";32;2;0;3;0;37
"260400 Carpina";556;0;0;0;0;556
"260410 Caruaru";1416;793;0;0;0;2209
"260415 Casinhas";99;16;0;0;0;115
"260420 Catende";196;22;0;0;0;218
"260430 Cedro";1;0;0;4;0;5
"260440 Chã de Alegria";120;0;0;0;0;120
"260450 Chã Grande";133;30;0;0;0;163
"260460 Condado";217;0;0;0;0;217
"260470 Correntes";48;35;0;0;0;83
"260480 Cortês";100;4;0;0;0;104
"260490 Cumaru";81;78;0;0;0;159
"260500 Cupira";107;190;0;0;0;297
"260510 Custódia";115;24;0;0;0;139
"260515 Dormentes";0;0;0;97;0;97
"260520 Escada";413;1;0;0;0;414
"260530 Exu";3;0;0;41;3;47
"260540 Feira Nova";192;0;0;0;0;192
"260545 Fernando de Noronha";15;0;0;0;0;15
"260550 Ferreiros";89;0;0;0;0;89
"260560 Flores";46;12;0;0;0;58
"260570 Floresta";124;20;0;0;0;144
"260580 Frei Miguelinho";72;61;0;0;0;133
"260590 Gameleira";140;2;0;0;0;142
"260600 Garanhuns";425;113;0;0;0;538
"260610 Glória do Goitá";239;1;0;0;0;240
"260620 Goiana";639;1;0;0;0;640
"260630 Granito";0;0;0;14;4;18
"260640 Gravatá";436;269;0;0;0;705
"260650 Iati";66;54;0;0;0;120
"260660 Ibimirim";97;36;0;0;0;133
"260670 Ibirajuba";31;80;0;0;0;111
"260680 Igarassu";1066;0;0;0;0;1066
"260690 Iguaraci";10;4;0;0;0;14
"260700 Inajá";90;21;0;0;0;111
"260710 Ingazeira";11;2;0;0;0;13
"260720 Ipojuca";1260;0;0;0;0;1260
"260730 Ipubi";4;0;0;23;1;28
"260740 Itacuruba";20;4;0;0;0;24
"260750 Itaíba";78;33;0;0;0;111
"260760 Ilha de Itamaracá";241;0;0;0;0;241
"260765 Itambé";241;0;0;0;0;241
"260770 Itapetim";24;1;0;0;0;25
"260775 Itapissuma";358;4;0;0;0;362
"260780 Itaquitinga";132;4;0;0;0;136
"260790 Jaboatão dos Guararapes";4148;1;0;0;0;4149
"260795 Jaqueira";57;8;0;0;0;65
"260800 Jataúba";85;129;0;0;0;214
"260805 Jatobá";35;11;0;0;0;46
"260810 João Alfredo";156;2;0;0;0;158
"260820 Joaquim Nabuco";80;2;0;0;0;82
"260825 Jucati";41;6;0;0;0;47
"260830 Jupi";92;44;0;0;0;136
"260840 Jurema";77;126;0;0;0;203
"260845 Lagoa do Carro";113;0;0;0;0;113
"260850 Lagoa do Itaenga";205;1;0;0;0;206
"260860 Lagoa do Ouro";55;29;0;0;0;84
"260870 Lagoa dos Gatos";54;76;0;0;0;130
"260875 Lagoa Grande";2;0;0;182;0;184
"260880 Lajedo";218;175;0;0;0;393
"260890 Limoeiro";331;2;0;0;0;333
"260900 Macaparana";247;0;0;0;0;247
"260910 Machados";122;0;0;0;0;122
"260915 Manari";66;17;0;0;0;83
"260920 Maraial";60;4;0;0;0;64
"260930 Mirandiba";2;0;0;9;0;11
"261430 Moreilândia";2;0;0;10;2;14
"260940 Moreno";424;1;0;0;0;425
"260950 Nazaré da Mata";269;0;0;0;0;269
"260960 Olinda";4319;1;0;0;0;4320
"260970 Orobó";143;1;0;0;0;144
"260980 Orocó";1;1;0;84;0;86
"260990 Ouricuri";2;0;0;86;52;140
"261000 Palmares";336;9;0;1;0;346
"261010 Palmeirina";20;17;0;0;0;37
"261020 Panelas";148;273;0;0;0;421
"261030 Paranatama";46;17;0;0;0;63
"261040 Parnamirim";2;0;0;24;9;35
"261050 Passira";167;15;0;0;0;182
"261060 Paudalho";786;0;0;0;0;786
"261070 Paulista";2687;0;0;0;0;2687
"261080 Pedra";86;28;1;0;0;115
"261090 Pesqueira";233;161;0;0;0;394
"261100 Petrolândia";105;20;0;10;0;135
"261110 Petrolina";6;0;0;5494;0;5500
"261120 Poção";60;60;0;0;0;120
"261130 Pombos";203;4;0;0;0;207
"261140 Primavera";118;0;0;0;0;118
"261150 Quipapá";82;44;0;1;0;127
"261153 Quixabá";13;7;0;0;0;20
"261160 Recife";12891;7;0;0;0;12898
"261170 Riacho das Almas";59;250;0;0;0;309
"261180 Ribeirão";228;3;0;0;0;231
"261190 Rio Formoso";236;2;0;0;0;238
"261200 Sairé";43;81;0;0;0;124
"261210 Salgadinho";29;7;0;0;0;36
"261220 Salgueiro";12;0;0;35;0;47
"261230 Saloá";59;30;0;0;0;89
"261240 Sanharó";94;155;0;0;0;249
"261245 Santa Cruz";47;0;0;30;7;84
"261247 Santa Cruz da Baixa Verde";15;3;0;0;0;18
"261250 Santa Cruz do Capibaribe";291;567;0;0;0;858
"261255 Santa Filomena";0;0;0;25;8;33
"261260 Santa Maria da Boa Vista";3;0;0;341;0;344
"261270 Santa Maria do Cambucá";90;102;0;0;0;192
"261280 Santa Terezinha";20;3;0;0;0;23
"261290 São Benedito do Sul";59;2;0;0;0;61
"261300 São Bento do Una";238;278;0;0;0;516
"261310 São Caitano";130;380;0;1;0;511
"261320 São João";94;43;0;0;0;137
"261330 São Joaquim do Monte";126;237;0;0;0;363
"261340 São José da Coroa Grande";133;4;0;0;0;137
"261350 São José do Belmonte";53;7;0;0;0;60
"261360 São José do Egito";60;13;0;0;0;73
"261370 São Lourenço da Mata";1098;0;0;0;0;1098
"261380 São Vicente Ferrer";148;1;0;0;0;149
"261390 Serra Talhada";146;21;0;2;0;169
"261400 Serrita";2;0;0;9;0;11
"261410 Sertânia";116;15;0;1;0;132
"261420 Sirinhaém";381;2;0;0;0;383
"261440 Solidão";15;3;0;0;0;18
"261450 Surubim";407;42;0;0;0;449
"261460 Tabira";50;6;0;0;0;56
"261470 Tacaimbó";41;188;0;0;0;229
"261480 Tacaratu";89;16;0;0;0;105
"261485 Tamandaré";237;2;0;0;0;239
"261500 Taquaritinga do Norte";111;128;0;0;0;239
"261510 Terezinha";16;10;0;0;0;26
"261520 Terra Nova";0;0;0;2;0;2
"261530 Timbaúba";392;1;0;0;0;393
"261540 Toritama";168;264;0;0;0;432
"261550 Tracunhaém";139;1;0;0;0;140
"261560 Trindade";2;0;0;33;0;35
"261570 Triunfo";26;4;0;0;0;30
"261580 Tupanatinga";78;31;0;0;0;109
"261590 Tuparetama";21;3;0;0;0;24
"261600 Venturosa";83;25;0;0;0;108
"261610 Verdejante";3;0;0;5;0;8
"261618 Vertente do Lério";26;5;0;0;0;31
"261620 Vertentes";92;127;0;0;0;219
"261630 Vicência";236;0;0;0;0;236
"261640 Vitória de Santo Antão";1000;1;0;0;0;1001
"261650 Xexéu";77;0;0;0;0;77
"000000 Outro Estado ou Exterior";415;15;0;4080;0;4510
