Estabelecimento;Endereço;Número;Bairro;Município;Unnamed: 5;Chatgpt;Endereço final;lat_lng;lat;lng
HOSPITAL DAS CLINICAS;Avenida Professor Moraes Rego;1235;Cidade Universitária;Recife;;Av. Prof. Moraes Rego, 1235 - Cidade Universitária, Recife - PE, 50670-901;Avenida Professor Moraes Rego,1235,Cidade Universitária,Recife;(-8.04742, -34.9485);-8.04742;-34.9485
HOSPITAL AGAMENON MAGALHAES;Estrada do Arraial;2723;Casa Amarela;Recife;;R. Tabira, 354 - Santo Amaro, Recife - PE, 50100-280;Estrada do Arraial,2723,Casa Amarela,Recife;(-8.03029, -34.90931);-8.03029;-34.90931
IMIP;Rua dos coelhos;300;Boa Vista;Recife;;R. dos Coelhos, 300 - Boa Vista, Recife - PE, 50070-550;Rua dos coelhos,300,Boa Vista,Recife;(-8.04824, -34.8997);-8.04824;-34.8997
HOSPITAL PROFESSOR AGAMENON MAGALHAES;Rua Manoel Bandeira da Silva;955;Centro;Serra Talhada;;R. Tabira, 354 - Santo Amaro, Recife - PE, 50100-280;Rua Manoel Bandeira da Silva,955,Centro,Serra Talhada;(-7.98883, -38.30123);-7.98883;-38.30123
HOSPITAL DE CARUARU JESUS NAZARENO (Hospital Maternidade Regional Jesus Nazareno - FUSAM);Rua Ana Maria da Silva Brasileirinho;-;Maurício de Nassau;Caruaru;;R. Siqueira Campos, 643 - Nossa Sra. das Dores, Caruaru - PE, 55004-170;Rua Ana Maria da Silva Brasileirinho,-,Maurício de Nassau,Caruaru;(-8.27015, -35.97635);-8.27015;-35.97635
HOSPITAL REGIONAL INACIO DE SA;Rua Antônio Alençar Sampaio;346;Planalto;Salgueiro;;Rua Luiz Jacinto, 74 - Nossa Sra. do Perpétuo Socorro, Salgueiro - PE, 56000-000;Rua Antônio Alençar Sampaio,346,Planalto,Salgueiro;(-8.05786, -39.1159);-8.05786;-39.1159
HOSPITAL BARAO DE LUCENA;Avenida Caxangá;3860;Iputinga;Recife;;Av. Gen. San Martin, 1597 - Cordeiro, Recife - PE, 50720-001;Avenida Caxangá,3860,Iputinga,Recife;(-8.03847, -34.94117);-8.03847;-34.94117
HOSPITAL REGIONAL EMILIA CAMARA;Rua Manoel Virgínio Sobrinho;238;Centro;Afogados da Ingazeira;;R. Maria Ramos de Oliveira, s/n - José e Maria, Petrolina - PE, 56328-550;Rua Manoel Virgínio Sobrinho,238,Centro,Afogados  da Ingazeira;(-7.73746, -37.65287);-7.73746;-37.65287
HOSPITAL REGIONAL DE PALMARES DR SILVIO MAGALHAES;Engenho Quilombo dos Palmares;km 185;BR-101;Palmares;;Rua Joaquim Nabuco, 448 - Centro, Palmares - PE, 55540-000;Engenho Quilombo dos Palmares,km 185,BR-101,Palmares;(-8.68669, -35.57727);-8.68669;-35.57727
HOSPITAL DOM MALAN;Rua Joaquim Nabuco;-;Centro;Petrolina;;Rua Carolina de Souza, s/n - Vila Eduardo, Petrolina - PE, 56328-090;Rua Joaquim Nabuco,-,Centro,Petrolina;(-9.39472, -40.50179);-9.39472;-40.50179
HOSPITAL REGIONAL RUY DE BARROS CORREIA;Avenida Doutor Agamenom Magalhães;-;Centro;Arcoverde;;Av. Mário Melo, 600 - Cohab II, Arcoverde - PE, 56506-010;Avenida Doutor Agamenom Magalhães,-,Centro,Arcoverde;(-8.42227, -37.05711);-8.42227;-37.05711
HOSPITAL MUNICIPAL EULINA DE NOVAES BIONE;Avenida sete de setembro;590;-;Orocó;;R. Henrique Dias, 103 - Divinópolis, Caruaru - PE, 55014-540;Avenida sete de setembro,590,-,Orocó;(-8.62056, -39.60347);-8.62056;-39.60347
HOSPITAL REGIONAL DOM MOURA;Avenida Simão Gomes;-;Centro;Garanhuns;; Av. Vicente Ferreira, s/n - Centro, Garanhuns - PE, 55290-000;Avenida Simão Gomes,-,Centro,Garanhuns;(-8.88249, -36.48576);-8.88249;-36.48576
MATERNIDADE ALCIDES CURSINO;Avenida Jonas Camelo de Almeida;191;Centro;Buíque;; R. Adalberto de Oliveira Barros, 169 - Magano, Garanhuns - PE, 55295-140;Avenida Jonas Camelo de Almeida,191,Centro,Buíque;(-8.62065, -37.1581);-8.62065;-37.1581
