"Munic Residencia PE";"2601 Recife";"2604 Caruaru";"2608 Petrolina";"Total"
"260005 Abreu e Lima";540;0;0;540
"260010 Afogados da Ingazeira";37;6;0;43
"260020 Afrânio";0;1;20;21
"260030 Agrestina";63;88;0;151
"260040 Água Preta";108;2;0;110
"260050 Águas Belas";94;39;0;133
"260060 Alagoinha";25;23;0;48
"260070 Aliança";196;2;0;198
"260080 Altinho";37;79;0;116
"260090 Amaraji";108;2;0;110
"260100 Angelim";35;17;0;52
"260105 Araçoiaba";144;0;0;144
"260110 Araripina";7;0;14;21
"260120 Arcoverde";149;15;0;164
"260130 Barra de Guabiraba";47;39;0;86
"260140 Barreiros";221;0;0;221
"260150 Belém de Maria";35;7;0;42
"260160 Belém de São Francisco";4;0;2;6
"260170 Belo Jardim";185;242;0;427
"260180 Betânia";25;3;0;28
"260190 Bezerros";131;177;0;308
"260200 Bodocó";1;0;4;5
"260210 Bom Conselho";68;35;0;103
"260220 Bom Jardim";149;8;0;157
"260230 Bonito";152;105;0;257
"260240 Brejão";41;16;0;57
"260250 Brejinho";8;2;0;10
"260260 Brejo da Madre de Deus";131;165;0;296
"260270 Buenos Aires";86;1;0;87
"260280 Buíque";111;18;0;129
"260290 Cabo de Santo Agostinho";911;0;0;911
"260300 Cabrobó";1;0;28;29
"260310 Cachoeirinha";55;107;0;162
"260320 Caetés";82;26;0;108
"260330 Calçado";34;9;0;43
"260340 Calumbi";5;2;0;7
"260345 Camaragibe";1086;0;0;1086
"260350 Camocim de São Félix";61;64;0;125
"260360 Camutanga";41;0;0;41
"260370 Canhotinho";56;19;0;75
"260380 Capoeiras";50;18;0;68
"260390 Carnaíba";20;3;0;23
"260392 Carnaubeira da Penha";15;1;2;18
"260400 Carpina";370;0;0;370
"260410 Caruaru";692;269;0;961
"260415 Casinhas";63;6;0;69
"260420 Catende";113;9;0;122
"260440 Chã de Alegria";101;0;0;101
"260450 Chã Grande";93;15;0;108
"260460 Condado";146;0;0;146
"260470 Correntes";29;18;0;47
"260480 Cortês";68;1;0;69
"260490 Cumaru";62;31;0;93
"260500 Cupira";64;76;0;140
"260510 Custódia";57;15;0;72
"260515 Dormentes";0;0;20;20
"260520 Escada";299;0;0;299
"260530 Exu";1;0;11;12
"260540 Feira Nova";143;0;0;143
"260545 Fernando de Noronha";7;0;0;7
"260550 Ferreiros";55;0;0;55
"260560 Flores";18;7;0;25
"260570 Floresta";64;11;0;75
"260580 Frei Miguelinho";35;26;0;61
"260590 Gameleira";107;1;0;108
"260600 Garanhuns";219;62;0;281
"260610 Glória do Goitá";134;0;0;134
"260620 Goiana";391;1;0;392
"260630 Granito";0;0;1;1
"260640 Gravatá";295;128;0;423
"260650 Iati";35;13;0;48
"260660 Ibimirim";47;16;0;63
"260670 Ibirajuba";25;36;0;61
"260680 Igarassu";673;0;0;673
"260690 Iguaraci";6;2;0;8
"260700 Inajá";36;11;0;47
"260710 Ingazeira";5;1;0;6
"260720 Ipojuca";817;0;0;817
"260730 Ipubi";3;0;6;9
"260740 Itacuruba";12;1;0;13
"260750 Itaíba";43;19;0;62
"260760 Ilha de Itamaracá";150;0;0;150
