"Munic Residencia PE";"2601 Recife";"2602 Limoeiro";"2603 Palmares";"2604 Caruaru";"2605 Garanhuns";"2606 Arcoverde";"2607 Salgueiro";"2608 Petrolina";"2609 Ouricuri";"2610 Afogados da Ingazeira";"2611 Serra Talhada";"2612 Goiana";"Total"
"260005 Abreu e Lima";1476;2;0;0;0;0;0;0;0;0;0;0;1478
"260010 Afogados da Ingazeira";5;0;0;4;0;8;0;2;0;604;1;0;624
"260020 Afrânio";0;0;0;0;0;1;0;321;0;0;0;0;322
"260030 Agrestina";32;3;59;347;4;1;0;0;0;0;0;0;446
"260040 Água Preta";68;0;673;12;0;1;0;0;0;0;0;0;754
"260050 Águas Belas";23;1;5;66;1295;53;0;0;0;3;0;0;1446
"260060 Alagoinha";7;0;0;122;18;199;0;0;0;4;0;0;350
"260070 Aliança";62;614;1;1;0;0;0;0;0;0;0;83;761
"260080 Altinho";23;2;58;195;11;0;0;0;0;0;0;0;289
"260090 Amaraji";273;0;189;2;0;0;0;0;0;0;0;0;464
"260100 Angelim";8;0;11;13;216;3;0;0;0;0;0;0;251
"260105 Araçoiaba";104;313;0;0;0;0;0;0;0;0;0;4;421
"260110 Araripina";1;0;0;0;0;3;3;75;3139;1;0;0;3222
"260120 Arcoverde";16;1;0;14;12;1954;2;0;0;13;0;0;2012
"260130 Barra de Guabiraba";38;3;90;141;0;0;0;0;0;0;0;0;272
"260140 Barreiros";182;0;1012;4;0;0;0;0;0;0;0;0;1198
"260150 Belém de Maria";14;0;214;14;0;0;0;0;0;0;0;0;242
"260160 Belém de São Francisco";1;0;0;0;0;1;416;35;1;0;16;0;470
"260170 Belo Jardim";72;0;16;1280;63;119;0;0;0;3;0;0;1553
"260180 Betânia";2;0;0;5;0;35;0;0;0;84;65;0;191
"260190 Bezerros";210;11;12;487;1;1;0;0;0;0;0;0;722
"260200 Bodocó";1;0;0;0;0;0;0;35;767;0;0;0;803
"260210 Bom Conselho";14;2;20;61;624;24;0;0;0;1;0;0;746
"260220 Bom Jardim";89;454;1;10;0;0;0;0;0;0;0;0;554
"260230 Bonito";86;2;208;795;0;0;0;0;0;0;0;0;1091
"260240 Brejão";6;0;5;22;263;8;0;0;0;1;0;0;305
"260250 Brejinho";1;0;0;0;1;0;0;0;0;96;2;0;100
"260260 Brejo da Madre de Deus";128;6;9;664;3;3;0;0;0;0;0;0;813
"260270 Buenos Aires";36;270;0;0;0;0;0;0;0;0;0;0;306
"260280 Buíque";15;0;0;25;19;1806;0;0;0;26;0;0;1891
"260290 Cabo de Santo Agostinho";3755;1;9;0;1;0;0;0;0;0;0;0;3766
"260300 Cabrobó";0;0;0;1;0;1;111;508;1;0;0;0;622
"260310 Cachoeirinha";63;0;16;289;56;10;0;0;0;0;0;0;434
"260320 Caetés";24;0;10;38;773;26;0;0;0;0;0;0;871
"260330 Calçado";6;0;14;26;124;6;0;0;0;0;0;0;176
"260340 Calumbi";0;0;0;1;0;1;0;0;0;8;74;0;84
"260345 Camaragibe";2179;4;0;1;0;1;0;0;0;0;0;0;2185
"260350 Camocim de São Félix";64;3;29;203;0;0;0;0;0;0;0;0;299
"260360 Camutanga";21;82;0;0;0;0;0;0;0;0;0;35;138
"260370 Canhotinho";9;0;18;18;660;3;0;0;0;0;0;0;708
"260380 Capoeiras";11;0;5;28;384;24;0;0;0;3;0;0;455
"260390 Carnaíba";1;0;0;0;0;6;0;0;0;269;7;0;283
"260392 Carnaubeira da Penha";2;0;0;3;0;24;71;7;0;21;319;0;447
"260400 Carpina";130;1094;0;1;0;0;0;0;0;0;0;0;1225
"260410 Caruaru";78;2;11;6794;3;1;1;0;0;0;0;0;6890
"260415 Casinhas";44;165;0;11;0;0;0;0;0;0;0;0;220
"260420 Catende";72;1;757;20;4;2;0;0;0;0;0;0;856
"260430 Cedro";0;0;0;0;0;0;177;4;1;0;0;0;182
"260440 Chã de Alegria";167;83;0;2;0;0;0;0;0;0;0;0;252
"260450 Chã Grande";315;0;1;27;0;0;0;0;0;0;0;0;343
"260460 Condado";72;202;0;0;1;0;0;0;0;0;0;161;436
"260470 Correntes";12;0;7;28;284;13;0;0;0;0;0;0;344
"260480 Cortês";45;0;248;6;0;0;0;0;0;0;0;0;299
